POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
1,Austin Dillon,3,Chevrolet,63,4,2,0,0,0
2,Bubba Wallace,23,Toyota,63,2,3,0,0,0
3,Kevin Harvick,4,Ford,63,3,11,0,0,0
4,Kyle Busch,18,Toyota,63,8,0,0,0,0
5,Chase Elliott,9,Chevrolet,63,5,0,0,0,0
6,Ryan Blaney,12,Ford,63,9,4,0,0,0
7,Corey LaJoie,7,Chevrolet,63,17,0,0,0,0
8,David Ragan,36,Ford,63,6,0,0,0,0
9,Kurt Busch,1,Chevrolet,63,7,0,0,0,0
10,Chris Buescher,17,Ford,63,15,0,0,0,0
11,Brad Keselowski,2,Ford,63,13,0,0,0,0
12,Martin Truex Jr.,19,Toyota,63,14,9,0,0,0
13,Joey Gase,53,Ford,63,20,0,0,0,0
14,Kaz Grala,16,Chevrolet,63,10,0,0,0,0
15,Chase Briscoe,14,Ford,61,11,0,0,0,0
16,Garrett Smithley,13,Ford,61,18,0,0,0,0
17,Derrike Cope,15,Chevrolet,59,21,0,0,0,0
18,Noah Gragson,62,Chevrolet,56,22,0,0,0,0
19,William Byron,24,Chevrolet,56,1,34,0,0,0
20,Ross Chastain,42,Chevrolet,56,12,0,0,0,0
21,Anthony Alfredo,38,Ford,35,16,0,0,0,0
22,B.J. McLeod,78,Ford,35,19,0,0,0,0
